T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
440,Lithuania,2005,Domestic general government health expenditure (% of total government expenditure),10.1,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
440,Lithuania,2010,Domestic general government health expenditure (% of total government expenditure),11.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
440,Lithuania,2015,Domestic general government health expenditure (% of total government expenditure),12.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
440,Lithuania,2019,Domestic general government health expenditure (% of total government expenditure),13.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
440,Lithuania,2020,Domestic general government health expenditure (% of total government expenditure),12.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
440,Lithuania,2021,Domestic general government health expenditure (% of total government expenditure),14.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2005,Current health expenditure (% of GDP),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2010,Current health expenditure (% of GDP),6.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2015,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2019,Current health expenditure (% of GDP),5.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2020,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2021,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2005,Domestic general government health expenditure (% of total government expenditure),13.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2010,Domestic general government health expenditure (% of total government expenditure),13.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2015,Domestic general government health expenditure (% of total government expenditure),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2019,Domestic general government health expenditure (% of total government expenditure),10.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2020,Domestic general government health expenditure (% of total government expenditure),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
442,Luxembourg,2021,Domestic general government health expenditure (% of total government expenditure),11.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2005,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2010,Current health expenditure (% of GDP),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2015,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2019,Current health expenditure (% of GDP),3.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2020,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2021,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2005,Domestic general government health expenditure (% of total government expenditure),10.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2010,Domestic general government health expenditure (% of total government expenditure),15.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2015,Domestic general government health expenditure (% of total government expenditure),15.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2019,Domestic general government health expenditure (% of total government expenditure),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2020,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
450,Madagascar,2021,Domestic general government health expenditure (% of total government expenditure),5.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2005,Current health expenditure (% of GDP),4.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2010,Current health expenditure (% of GDP),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2015,Current health expenditure (% of GDP),6.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2019,Current health expenditure (% of GDP),7.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2020,Current health expenditure (% of GDP),7.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2021,Current health expenditure (% of GDP),7.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2005,Domestic general government health expenditure (% of total government expenditure),6.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2010,Domestic general government health expenditure (% of total government expenditure),5.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2015,Domestic general government health expenditure (% of total government expenditure),9.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2019,Domestic general government health expenditure (% of total government expenditure),8.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2020,Domestic general government health expenditure (% of total government expenditure),6.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
454,Malawi,2021,Domestic general government health expenditure (% of total government expenditure),5.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2005,Current health expenditure (% of GDP),2.8,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2010,Current health expenditure (% of GDP),3.2,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2015,Current health expenditure (% of GDP),3.8,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2019,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2020,Current health expenditure (% of GDP),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2021,Current health expenditure (% of GDP),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2005,Domestic general government health expenditure (% of total government expenditure),5.6,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2010,Domestic general government health expenditure (% of total government expenditure),6.3,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2015,Domestic general government health expenditure (% of total government expenditure),8.2,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2019,Domestic general government health expenditure (% of total government expenditure),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2020,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
458,Malaysia,2021,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2005,Current health expenditure (% of GDP),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2010,Current health expenditure (% of GDP),8.5,Break in the time series.;Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2015,Current health expenditure (% of GDP),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2019,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2020,Current health expenditure (% of GDP),11.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2021,Current health expenditure (% of GDP),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2005,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2010,Domestic general government health expenditure (% of total government expenditure),13.5,Break in the time series.;Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2015,Domestic general government health expenditure (% of total government expenditure),18.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2019,Domestic general government health expenditure (% of total government expenditure),17.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2020,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
462,Maldives,2021,Domestic general government health expenditure (% of total government expenditure),18.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2005,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2010,Current health expenditure (% of GDP),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2015,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2019,Current health expenditure (% of GDP),3.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2020,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2021,Current health expenditure (% of GDP),4.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2005,Domestic general government health expenditure (% of total government expenditure),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2010,Domestic general government health expenditure (% of total government expenditure),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2015,Domestic general government health expenditure (% of total government expenditure),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2019,Domestic general government health expenditure (% of total government expenditure),4.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2020,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
466,Mali,2021,Domestic general government health expenditure (% of total government expenditure),5.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2005,Current health expenditure (% of GDP),8.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2010,Current health expenditure (% of GDP),8.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2015,Current health expenditure (% of GDP),8.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2019,Current health expenditure (% of GDP),9.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2020,Current health expenditure (% of GDP),10.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2021,Current health expenditure (% of GDP),10.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2005,Domestic general government health expenditure (% of total government expenditure),14.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2010,Domestic general government health expenditure (% of total government expenditure),12.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2015,Domestic general government health expenditure (% of total government expenditure),14.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2019,Domestic general government health expenditure (% of total government expenditure),15.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2020,Domestic general government health expenditure (% of total government expenditure),15.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
470,Malta,2021,Domestic general government health expenditure (% of total government expenditure),16.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2005,Current health expenditure (% of GDP),20.2,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2010,Current health expenditure (% of GDP),13.9,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2015,Current health expenditure (% of GDP),15.3,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2019,Current health expenditure (% of GDP),14.8,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2020,Current health expenditure (% of GDP),12.6,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2021,Current health expenditure (% of GDP),12.5,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2005,Domestic general government health expenditure (% of total government expenditure),6.6,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2010,Domestic general government health expenditure (% of total government expenditure),7.7,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2015,Domestic general government health expenditure (% of total government expenditure),11.6,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2019,Domestic general government health expenditure (% of total government expenditure),10.5,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2020,Domestic general government health expenditure (% of total government expenditure),8.8,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
584,Marshall Islands,2021,Domestic general government health expenditure (% of total government expenditure),7.9,Data refer to fiscal years beginning 1 October.;Health expenditure indicators are high as they spend a lot on health using direct funding from the United States and also from their domestic funds. Current health expenditure is mostly government.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2005,Current health expenditure (% of GDP),3.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2010,Current health expenditure (% of GDP),2.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2015,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2019,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2020,Current health expenditure (% of GDP),3.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2021,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2005,Domestic general government health expenditure (% of total government expenditure),3.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2010,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2015,Domestic general government health expenditure (% of total government expenditure),5.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2019,Domestic general government health expenditure (% of total government expenditure),7.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2020,Domestic general government health expenditure (% of total government expenditure),8.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
478,Mauritania,2021,Domestic general government health expenditure (% of total government expenditure),8.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2005,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2010,Current health expenditure (% of GDP),4.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2015,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2019,Current health expenditure (% of GDP),6.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2020,Current health expenditure (% of GDP),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2021,Current health expenditure (% of GDP),6.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2005,Domestic general government health expenditure (% of total government expenditure),7.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2010,Domestic general government health expenditure (% of total government expenditure),8.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2015,Domestic general government health expenditure (% of total government expenditure),9.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2019,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2020,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
480,Mauritius,2021,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2005,Current health expenditure (% of GDP),5.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2010,Current health expenditure (% of GDP),5.7,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2015,Current health expenditure (% of GDP),5.7,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2019,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2020,Current health expenditure (% of GDP),6.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2021,Current health expenditure (% of GDP),6.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2005,Domestic general government health expenditure (% of total government expenditure),11.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2010,Domestic general government health expenditure (% of total government expenditure),10.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2015,Domestic general government health expenditure (% of total government expenditure),10.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2019,Domestic general government health expenditure (% of total government expenditure),10.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2020,Domestic general government health expenditure (% of total government expenditure),11.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
484,Mexico,2021,Domestic general government health expenditure (% of total government expenditure),11.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2005,Current health expenditure (% of GDP),17.7,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2010,Current health expenditure (% of GDP),13.1,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2015,Current health expenditure (% of GDP),12.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2019,Current health expenditure (% of GDP),11.3,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2020,Current health expenditure (% of GDP),10.8,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2021,Current health expenditure (% of GDP),11.0,Provisional data.;Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2005,Domestic general government health expenditure (% of total government expenditure),4.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2010,Domestic general government health expenditure (% of total government expenditure),3.4,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2015,Domestic general government health expenditure (% of total government expenditure),5.8,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2019,Domestic general government health expenditure (% of total government expenditure),5.9,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
583,Micronesia (Fed. States of),2020,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
