T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
24,Angola,2019,Current health expenditure (% of GDP),2.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2020,Current health expenditure (% of GDP),3.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2021,Current health expenditure (% of GDP),3.0,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2019,Domestic general government health expenditure (% of total government expenditure),5.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2020,Domestic general government health expenditure (% of total government expenditure),7.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
24,Angola,2021,Domestic general government health expenditure (% of total government expenditure),8.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),5.0,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.4,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2015,Current health expenditure (% of GDP),5.3,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2019,Current health expenditure (% of GDP),4.4,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2020,Current health expenditure (% of GDP),5.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2021,Current health expenditure (% of GDP),5.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.5,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),11.8,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2019,Domestic general government health expenditure (% of total government expenditure),11.3,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2020,Domestic general government health expenditure (% of total government expenditure),13.8,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
28,Antigua and Barbuda,2021,Domestic general government health expenditure (% of total government expenditure),15.5,Provisional data.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2005,Current health expenditure (% of GDP),7.6,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2010,Current health expenditure (% of GDP),9.4,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2015,Current health expenditure (% of GDP),10.2,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2019,Current health expenditure (% of GDP),10.0,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2020,Current health expenditure (% of GDP),10.3,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2021,Current health expenditure (% of GDP),9.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.5,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2019,Domestic general government health expenditure (% of total government expenditure),16.1,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2020,Domestic general government health expenditure (% of total government expenditure),15.7,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
32,Argentina,2021,Domestic general government health expenditure (% of total government expenditure),16.2,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2005,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2010,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2015,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2019,Current health expenditure (% of GDP),11.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2020,Current health expenditure (% of GDP),12.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2021,Current health expenditure (% of GDP),12.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2019,Domestic general government health expenditure (% of total government expenditure),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2020,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
51,Armenia,2021,Domestic general government health expenditure (% of total government expenditure),7.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2005,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2010,Current health expenditure (% of GDP),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2015,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2019,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2020,Current health expenditure (% of GDP),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2021,Current health expenditure (% of GDP),10.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),15.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2015,Domestic general government health expenditure (% of total government expenditure),18.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2019,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2020,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
36,Australia,2021,Domestic general government health expenditure (% of total government expenditure),19.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2005,Current health expenditure (% of GDP),9.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2010,Current health expenditure (% of GDP),10.2,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2015,Current health expenditure (% of GDP),10.4,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2019,Current health expenditure (% of GDP),10.5,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2020,Current health expenditure (% of GDP),11.4,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2021,Current health expenditure (% of GDP),12.1,Provisional data.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.7,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2019,Domestic general government health expenditure (% of total government expenditure),16.1,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2020,Domestic general government health expenditure (% of total government expenditure),15.4,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
40,Austria,2021,Domestic general government health expenditure (% of total government expenditure),16.9,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2005,Current health expenditure (% of GDP),2.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2010,Current health expenditure (% of GDP),2.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2015,Current health expenditure (% of GDP),4.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2019,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2020,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2021,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2019,Domestic general government health expenditure (% of total government expenditure),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2020,Domestic general government health expenditure (% of total government expenditure),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
31,Azerbaijan,2021,Domestic general government health expenditure (% of total government expenditure),4.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2005,Current health expenditure (% of GDP),4.0,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2010,Current health expenditure (% of GDP),5.3,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2015,Current health expenditure (% of GDP),5.2,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2019,Current health expenditure (% of GDP),5.8,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2020,Current health expenditure (% of GDP),7.6,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2021,Current health expenditure (% of GDP),7.1,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),12.9,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),15.4,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2015,Domestic general government health expenditure (% of total government expenditure),12.8,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
44,Bahamas,2019,Domestic general government health expenditure (% of total government expenditure),15.0,Provisional data.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
